Occupied, Price, Music, Location, VIP, Favorite Beer
High, Expensive, Loud, Talpiot, No, No
High, Expensive, Loud, City-Center, Yes, No
Moderate, Normal, Quiet, City-Center, No, Yes
Moderate, Expensive, Quiet, German-Colony, No, No
Moderate, Expensive, Quiet, German-Colony, Yes, Yes
Moderate, Normal, Quiet, Ein-Karem, No, No
Low, Normal, Quiet, Ein-Karem, No, No
Moderate, Cheap, Loud, Mahane-Yehuda, No, No
High, Expensive, Loud, City-Center, Yes, Yes
Low, Cheap, Quiet, City-Center, No, No
Moderate, Cheap, Loud, Talpiot, No, Yes
Low, Cheap, Quiet, Talpiot, Yes, Yes
Moderate, Expensive, Quiet, Mahane-Yehuda, No, Yes
High, Normal, Loud, Mahane-Yehuda, Yes, Yes
Moderate, Normal, Loud, Ein-Karem, No, Yes
High, Normal, Quiet, German-Colony, No, No
High, Cheap, Loud, City-Center, No, Yes
Low, Normal, Quiet, City-Center, No, No
Low, Expensive, Loud, Mahane-Yehuda, No, No
Moderate, Normal, Quiet, Talpiot, No, No
Low, Normal, Quiet, City-Center, No, No
Low, Cheap, Loud, Ein-Karem, Yes, Yes
Moderate, Cheap, Loud, City-Center, No, No
